id,publication_year,cited_by_count,author_ids
https://openalex.org/W3002448192,2020.0,274,"[""https://openalex.org/A5000200187"", ""https://openalex.org/A5100413697""]"
https://openalex.org/W4229068424,2022.0,208,"[""https://openalex.org/A5100413697"", ""https://openalex.org/A5000200187""]"
https://openalex.org/W3118402763,2021.0,200,"[""https://openalex.org/A5000200187"", ""https://openalex.org/A5100413697""]"
https://openalex.org/W2154576139,2011.0,184,"[""https://openalex.org/A5047457262"", ""https://openalex.org/A5000234165""]"
https://openalex.org/W1990583839,2014.0,162,"[""https://openalex.org/A5000234165"", ""https://openalex.org/A5047457262"", ""https://openalex.org/A5056677399""]"
https://openalex.org/W2804870457,2018.0,151,"[""https://openalex.org/A5003003000"", ""https://openalex.org/A5000146150"", ""https://openalex.org/A5026111773""]"
https://openalex.org/W2922566762,2019.0,138,"[""https://openalex.org/A5110930428"", ""https://openalex.org/A5000234165"", ""https://openalex.org/A5047457262""]"
https://openalex.org/W4386902756,2023.0,136,"[""https://openalex.org/A5000200187"", ""https://openalex.org/A5100413697""]"
https://openalex.org/W2943149824,2019.0,122,"[""https://openalex.org/A5110930428"", ""https://openalex.org/A5047457262"", ""https://openalex.org/A5000234165""]"
https://openalex.org/W2586222876,2017.0,117,"[""https://openalex.org/A5047457262"", ""https://openalex.org/A5000234165""]"
https://openalex.org/W2277718088,2016.0,104,"[""https://openalex.org/A5000096589"", ""https://openalex.org/A5022811687"", ""https://openalex.org/A5100450462""]"
https://openalex.org/W2944565732,2019.0,85,"[""https://openalex.org/A5047457262"", ""https://openalex.org/A5000234165""]"
https://openalex.org/W3127354245,2021.0,84,"[""https://openalex.org/A5000200187"", ""https://openalex.org/A5100413697""]"
https://openalex.org/W1970243094,2014.0,83,"[""https://openalex.org/A5000234165"", ""https://openalex.org/A5047457262""]"
https://openalex.org/W2789939861,2018.0,53,"[""https://openalex.org/A5000039263"", ""https://openalex.org/A5103154659""]"
https://openalex.org/W4319829690,2023.0,53,"[""https://openalex.org/A5069432999"", ""https://openalex.org/A5000010272""]"
https://openalex.org/W4382371059,2023.0,45,"[""https://openalex.org/A5000200187"", ""https://openalex.org/A5100413697""]"
https://openalex.org/W2965866266,2019.0,36,"[""https://openalex.org/A5000110965"", ""https://openalex.org/A5090046099"", ""https://openalex.org/A5069858596"", ""https://openalex.org/A5090303125""]"
https://openalex.org/W4321381037,2023.0,29,"[""https://openalex.org/A5000200187"", ""https://openalex.org/A5100413697""]"
https://openalex.org/W4382449690,2023.0,21,"[""https://openalex.org/A5000010272"", ""https://openalex.org/A5069432999""]"
https://openalex.org/W3216866735,2021.0,19,"[""https://openalex.org/A5057196170"", ""https://openalex.org/A5000245456""]"
https://openalex.org/W2777190553,2017.0,51,"[""https://openalex.org/A5000234165"", ""https://openalex.org/A5047457262""]"
https://openalex.org/W3141518608,2021.0,50,"[""https://openalex.org/A5000110965"", ""https://openalex.org/A5069858596""]"
https://openalex.org/W2768661886,2017.0,49,"[""https://openalex.org/A5016503964"", ""https://openalex.org/A5059416594"", ""https://openalex.org/A5057196170"", ""https://openalex.org/A5000245456"", ""https://openalex.org/A5032926589""]"
https://openalex.org/W3015203860,2020.0,42,"[""https://openalex.org/A5000234165"", ""https://openalex.org/A5047457262""]"
