query_name,id,display_name,works_api_url,h_index,works_count,country_code,matched
Mirta Galesic,https://openalex.org/A5071165387,Mirta Galešić,https://api.openalex.org/works?filter=author.id:A5071165387,47.0,196.0,US,True
Mirza Nayeem Ahmed,https://openalex.org/A5125057768,Mirza Nayeem Ahmed,https://api.openalex.org/works?filter=author.id:A5125057768,0.0,2.0,,True
Mitsuo Yoshida,https://openalex.org/A5063652311,Mitsuo Yoshida,https://api.openalex.org/works?filter=author.id:A5063652311,29.0,384.0,JP,True
Moa Johansson,https://openalex.org/A5060248370,Moa Johansson,https://api.openalex.org/works?filter=author.id:A5060248370,15.0,111.0,SE,True
Moena Hashimoto,https://openalex.org/A5105892330,Moena Hashimoto,https://api.openalex.org/works?filter=author.id:A5105892330,1.0,2.0,JP,True
Mohammed Alsobay,https://openalex.org/A5027814433,Mohammed Alsobay,https://api.openalex.org/works?filter=author.id:A5027814433,4.0,20.0,US,True
Mohsen Mosleh,https://openalex.org/A5052536455,Mohsen Mosleh,https://api.openalex.org/works?filter=author.id:A5052536455,26.0,125.0,US,True
Mona Sloane,https://openalex.org/A5075302056,Mona Sloane,https://api.openalex.org/works?filter=author.id:A5075302056,12.0,61.0,US,True
Monideepa Tarafdar,https://openalex.org/A5084265580,Monideepa Tarafdar,https://api.openalex.org/works?filter=author.id:A5084265580,48.0,224.0,US,True
Moontae Lee,https://openalex.org/A5066049461,Moontae Lee,https://api.openalex.org/works?filter=author.id:A5066049461,7.0,39.0,,True
Moritz Laber,https://openalex.org/A5069952976,Moritz Laber,https://api.openalex.org/works?filter=author.id:A5069952976,1.0,4.0,US,True
Morten Mørup,https://openalex.org/A5059840085,Morten Mørup,https://api.openalex.org/works?filter=author.id:A5059840085,31.0,210.0,US,True
Muhammad Haroon,https://openalex.org/A5102003075,Muhammad Haroon,https://api.openalex.org/works?filter=author.id:A5102003075,25.0,143.0,PK,True
Muhua Huang,https://openalex.org/A5063441605,Muhua Huang,https://api.openalex.org/works?filter=author.id:A5063441605,15.0,45.0,CN,True
Munjung Kim,https://openalex.org/A5013327023,Munjung Kim,https://api.openalex.org/works?filter=author.id:A5013327023,2.0,5.0,,True
Myokyung han,https://openalex.org/A5125117528,Myokyung Han,https://api.openalex.org/works?filter=author.id:A5125117528,0.0,1.0,KR,True
Myra Miranda,https://openalex.org/A5082733953,Myra Miranda,https://api.openalex.org/works?filter=author.id:A5082733953,1.0,1.0,JP,True
Måns Magnusson,https://openalex.org/A5037231816,Måns Magnusson,https://api.openalex.org/works?filter=author.id:A5037231816,10.0,23.0,SE,True
Na Jiang,https://openalex.org/A5101667175,Na Jiang,https://api.openalex.org/works?filter=author.id:A5101667175,29.0,231.0,CN,True
Nabeel Gillani,https://openalex.org/A5015797850,Nabeel Gillani,https://api.openalex.org/works?filter=author.id:A5015797850,9.0,41.0,US,True
Nadezhda Ozornina,https://openalex.org/A5038292442,Nadezhda Ozornina,https://api.openalex.org/works?filter=author.id:A5038292442,3.0,4.0,,True
Naitian Zhou,https://openalex.org/A5065854593,Naitian Zhou,https://api.openalex.org/works?filter=author.id:A5065854593,3.0,10.0,,True
Nan Zhang,https://openalex.org/A5100331317,Nan Zhang,https://api.openalex.org/works?filter=author.id:A5100331317,77.0,382.0,CN,True
Naomi Baes,https://openalex.org/A5022900079,Naomi Baes,https://api.openalex.org/works?filter=author.id:A5022900079,5.0,19.0,,True
Naomi Muggleton,https://openalex.org/A5013862232,Naomi Muggleton,https://api.openalex.org/works?filter=author.id:A5013862232,5.0,18.0,GB,True
Narayani Vedam,https://openalex.org/A5089004540,Narayani Vedam,https://api.openalex.org/works?filter=author.id:A5089004540,2.0,3.0,IN,True
Natalie Schroyens,https://openalex.org/A5087293181,Natalie Schroyens,https://api.openalex.org/works?filter=author.id:A5087293181,9.0,36.0,US,True
Nathalie Greenfield,https://openalex.org/A5114401778,Nathalie Greenfield,https://api.openalex.org/works?filter=author.id:A5114401778,2.0,3.0,US,True
Nathan Fu,https://openalex.org/A5093932049,Nathan Fu,https://api.openalex.org/works?filter=author.id:A5093932049,2.0,3.0,US,True
Nay San,https://openalex.org/A5012458624,Nay San,https://api.openalex.org/works?filter=author.id:A5012458624,7.0,45.0,US,True
Neele Engelmann,https://openalex.org/A5059611597,Neele Engelmann,https://api.openalex.org/works?filter=author.id:A5059611597,6.0,20.0,,True
Neeley Pate,https://openalex.org/A5123704730,Neeley Pate,https://api.openalex.org/works?filter=author.id:A5123704730,0.0,2.0,,True
Negin Maddah,https://openalex.org/A5093976007,Negin Maddah,https://api.openalex.org/works?filter=author.id:A5093976007,1.0,2.0,US,True
Neha Gondal,https://openalex.org/A5034089559,Neha Gondal,https://api.openalex.org/works?filter=author.id:A5034089559,11.0,24.0,US,True
Neil Fasching,https://openalex.org/A5062168541,Neil Fasching,https://api.openalex.org/works?filter=author.id:A5062168541,5.0,11.0,,True
Nguyen Luong,https://openalex.org/A5089793687,Nguyen Cong Luong,https://api.openalex.org/works?filter=author.id:A5089793687,22.0,120.0,VN,True
Niccolò Di Marco,https://openalex.org/A5085261603,Niccolò Di Marco,https://api.openalex.org/works?filter=author.id:A5085261603,7.0,42.0,IT,True
Nicholas A. Christakis,https://openalex.org/A5010495671,Nicholas A. Christakis,https://api.openalex.org/works?filter=author.id:A5010495671,98.0,407.0,US,True
Nicholas Chen,https://openalex.org/A5005006544,Nicholas Chen,https://api.openalex.org/works?filter=author.id:A5005006544,20.0,67.0,US,True
Nicholas D. Anderson,https://openalex.org/A5017524111,Norman D. Anderson,https://api.openalex.org/works?filter=author.id:A5017524111,14.0,54.0,,True
Nick Haslam,https://openalex.org/A5090589044,Nick Haslam,https://api.openalex.org/works?filter=author.id:A5090589044,83.0,513.0,US,True
Niclas Frederic Sturm,https://openalex.org/A5116019828,Niclas Frederic Sturm,https://api.openalex.org/works?filter=author.id:A5116019828,1.0,2.0,PT,True
Nico Mutzner,https://openalex.org/A5050477935,Nico Mutzner,https://api.openalex.org/works?filter=author.id:A5050477935,3.0,7.0,CH,True
Nicola Cinardi,https://openalex.org/A5012591564,Roberta Angelico,https://api.openalex.org/works?filter=author.id:A5012591564,26.0,155.0,,True
Nicola Perra,https://openalex.org/A5031799782,Nicola Perra,https://api.openalex.org/works?filter=author.id:A5031799782,36.0,139.0,US,True
Nicolas Baumard,https://openalex.org/A5069318507,Nicolas Baumard,https://api.openalex.org/works?filter=author.id:A5069318507,31.0,206.0,FR,True
Nicolas Pröllochs,https://openalex.org/A5048633988,Nicolas Pröllochs,https://api.openalex.org/works?filter=author.id:A5048633988,21.0,102.0,,True
Nicolas Scharowski,https://openalex.org/A5073186689,Nicolas Scharowski,https://api.openalex.org/works?filter=author.id:A5073186689,6.0,15.0,CH,True
Nicole Schwitter,https://openalex.org/A5086210260,Nicole Schwitter,https://api.openalex.org/works?filter=author.id:A5086210260,5.0,37.0,,True
Nicolò Gozzi,https://openalex.org/A5069579180,Nicolò Gozzi,https://api.openalex.org/works?filter=author.id:A5069579180,13.0,47.0,US,True
Nikolaos Nakis,https://openalex.org/A5018195808,Nikolaos Nakis,https://api.openalex.org/works?filter=author.id:A5018195808,3.0,16.0,FR,True
Nikolas Zöller,https://openalex.org/A5000025221,Nikolas Zöller,https://api.openalex.org/works?filter=author.id:A5000025221,4.0,10.0,DE,True
Nima Dehmamy,https://openalex.org/A5078338477,Nima Dehmamy,https://api.openalex.org/works?filter=author.id:A5078338477,10.0,46.0,US,True
Nina. Mazar,https://openalex.org/A5040984419,Dan Ariely,https://api.openalex.org/works?filter=author.id:A5040984419,91.0,478.0,US,True
Nir Grinberg,https://openalex.org/A5079648413,Nir Grinberg,https://api.openalex.org/works?filter=author.id:A5079648413,9.0,30.0,IL,True
Niraj Kushwaha,https://openalex.org/A5088249087,Niraj Kant Kushwaha,https://api.openalex.org/works?filter=author.id:A5088249087,4.0,17.0,AT,True
Niyati Malhotra,https://openalex.org/A5022598524,Saugato Datta,https://api.openalex.org/works?filter=author.id:A5022598524,12.0,50.0,US,True
Nobuhito Abe,https://openalex.org/A5074372343,Nobuhito Abe,https://api.openalex.org/works?filter=author.id:A5074372343,28.0,158.0,JP,True
Nora Svensson Hahr,,,,,,,False
Nori Jacoby,https://openalex.org/A5021757437,Nori Jacoby,https://api.openalex.org/works?filter=author.id:A5021757437,30.0,150.0,,True
Norina Anna Furrer,https://openalex.org/A5080488841,Norina Anna Furrer,https://api.openalex.org/works?filter=author.id:A5080488841,1.0,3.0,,True
Nuo Chen,https://openalex.org/A5100740160,Nuo Chen,https://api.openalex.org/works?filter=author.id:A5100740160,16.0,125.0,TH,True
Nur Şirin Atsızelti,,,,,,,False
Oded Cats,https://openalex.org/A5058766860,Oded Cats,https://api.openalex.org/works?filter=author.id:A5058766860,56.0,431.0,SE,True
Ofer Tchernichovski,https://openalex.org/A5047713899,Ofer Tchernichovski,https://api.openalex.org/works?filter=author.id:A5047713899,29.0,99.0,,True
Ohhyun Kwon,https://openalex.org/A5101848967,Oh‐Hyun Kwon,https://api.openalex.org/works?filter=author.id:A5101848967,8.0,31.0,KR,True
Ola Ali,https://openalex.org/A5108705303,Ola A. Abu Ali,https://api.openalex.org/works?filter=author.id:A5108705303,23.0,99.0,EG,True
Ole Hexel,https://openalex.org/A5044895611,Ole Hexel,https://api.openalex.org/works?filter=author.id:A5044895611,2.0,6.0,,True
Omkar Yadav,https://openalex.org/A5017115713,Omkar Yadav,https://api.openalex.org/works?filter=author.id:A5017115713,6.0,44.0,IN,True
Onkar Sadekar,https://openalex.org/A5030437828,Onkar Sadekar,https://api.openalex.org/works?filter=author.id:A5030437828,6.0,14.0,AT,True
Onur Varol,https://openalex.org/A5031461158,Onur Varol,https://api.openalex.org/works?filter=author.id:A5031461158,24.0,93.0,,True
Oromia Sero,https://openalex.org/A5120236069,Oromia Sero,https://api.openalex.org/works?filter=author.id:A5120236069,0.0,1.0,NL,True
Ozgur Can Seckin,https://openalex.org/A5056041083,Ozgur Can Seckin,https://api.openalex.org/works?filter=author.id:A5056041083,3.0,10.0,US,True
Pablo Biedma,https://openalex.org/A5095839226,Pablo Biedma,https://api.openalex.org/works?filter=author.id:A5095839226,0.0,1.0,,True
Pamina Syed Al,,,,,,,False
Pan Zhou,https://openalex.org/A5100693197,Pan Zhou,https://api.openalex.org/works?filter=author.id:A5100693197,58.0,525.0,CN,True
Panayiotis Smeros,https://openalex.org/A5082283204,Panayiotis Smeros,https://api.openalex.org/works?filter=author.id:A5082283204,6.0,19.0,,True
Pantelis P. Analytis,https://openalex.org/A5080193434,Pantelis P. Analytis,https://api.openalex.org/works?filter=author.id:A5080193434,10.0,51.0,DK,True
Paolo Bajardi,https://openalex.org/A5070491108,Paolo Bajardi,https://api.openalex.org/works?filter=author.id:A5070491108,21.0,60.0,BY,True
Paolo Turrini,https://openalex.org/A5066749809,Paolo Turrini,https://api.openalex.org/works?filter=author.id:A5066749809,13.0,21.0,IT,True
Parisa Zahedi,https://openalex.org/A5058508760,Parisa Zahedi,https://api.openalex.org/works?filter=author.id:A5058508760,3.0,5.0,NL,True
Patricia Maes,https://openalex.org/A5081457786,Pattie Maes,https://api.openalex.org/works?filter=author.id:A5081457786,59.0,340.0,US,True
Patrick Gildersleve,https://openalex.org/A5070221432,Patrick Gildersleve,https://api.openalex.org/works?filter=author.id:A5070221432,5.0,15.0,,True
Patrick Y. Wu,https://openalex.org/A5110242710,Patrick Y. Wu,https://api.openalex.org/works?filter=author.id:A5110242710,5.0,5.0,HK,True
