id,display_name,works_api_url,h_index,works_count,cited_by_count,country_code
https://openalex.org/A5009429583,Kathlyn E. Fletcher,https://api.openalex.org/works?filter=author.id:A5009429583,29,123,3369,US
https://openalex.org/A5009477152,Ciska Hoving,https://api.openalex.org/works?filter=author.id:A5009477152,26,121,4700,NL
https://openalex.org/A5009442809,Jeroen Weesie,https://api.openalex.org/works?filter=author.id:A5009442809,22,109,2797,NL
https://openalex.org/A5009274474,Samuel R. Sommers,https://api.openalex.org/works?filter=author.id:A5009274474,36,108,5596,
https://openalex.org/A5009349156,Oren Shriki,https://api.openalex.org/works?filter=author.id:A5009349156,21,83,2043,IL
https://openalex.org/A5009238196,So Won Jeong,https://api.openalex.org/works?filter=author.id:A5009238196,15,70,975,KR
https://openalex.org/A5009319830,Camille S. Johnson,https://api.openalex.org/works?filter=author.id:A5009319830,13,68,1784,US
https://openalex.org/A5009292561,Liyun Ru,https://api.openalex.org/works?filter=author.id:A5009292561,16,64,950,
https://openalex.org/A5009283581,Karolin Eva Kappler,https://api.openalex.org/works?filter=author.id:A5009283581,8,60,340,DE
https://openalex.org/A5009478901,Yini Zhang,https://api.openalex.org/works?filter=author.id:A5009478901,15,56,968,US
https://openalex.org/A5009334866,Mariya Shiyko,https://api.openalex.org/works?filter=author.id:A5009334866,21,54,1393,US
https://openalex.org/A5009365477,Juliana E. Gonçalves,https://api.openalex.org/works?filter=author.id:A5009365477,11,46,356,NL
https://openalex.org/A5009235115,Charles Gomez,https://api.openalex.org/works?filter=author.id:A5009235115,9,45,772,US
https://openalex.org/A5009273980,Erik–Jan van Kesteren,https://api.openalex.org/works?filter=author.id:A5009273980,10,43,2312,NL
https://openalex.org/A5009474079,Ihab Sbeity,https://api.openalex.org/works?filter=author.id:A5009474079,6,43,180,LB
https://openalex.org/A5009275325,Maya Sappelli,https://api.openalex.org/works?filter=author.id:A5009275325,12,42,949,NL
https://openalex.org/A5009349225,Frida Smith,https://api.openalex.org/works?filter=author.id:A5009349225,11,41,351,JP
https://openalex.org/A5009433206,Jonathan Hersh,https://api.openalex.org/works?filter=author.id:A5009433206,14,35,665,US
https://openalex.org/A5009417234,Hongwei Zheng,https://api.openalex.org/works?filter=author.id:A5009417234,7,34,129,
https://openalex.org/A5009379770,Qinglan Peng,https://api.openalex.org/works?filter=author.id:A5009379770,11,33,528,CN
https://openalex.org/A5009239738,Eleftherios Spyromitros-Xioufis,https://api.openalex.org/works?filter=author.id:A5009239738,13,32,1262,GR
https://openalex.org/A5009459919,Deniz Berfin Karakoc,https://api.openalex.org/works?filter=author.id:A5009459919,7,19,333,US
https://openalex.org/A5009288058,Ching Jin,https://api.openalex.org/works?filter=author.id:A5009288058,6,18,322,GB
https://openalex.org/A5009293076,Monica Farris,https://api.openalex.org/works?filter=author.id:A5009293076,3,16,27,US
https://openalex.org/A5009365383,Larissa Samaan,https://api.openalex.org/works?filter=author.id:A5009365383,4,16,43,DE
https://openalex.org/A5009481678,Kristin Runge,https://api.openalex.org/works?filter=author.id:A5009481678,7,16,199,
https://openalex.org/A5009409152,Kimia Hamidieh,https://api.openalex.org/works?filter=author.id:A5009409152,3,14,80,RU
https://openalex.org/A5009233299,Dorothee Stiller,https://api.openalex.org/works?filter=author.id:A5009233299,4,12,110,
https://openalex.org/A5009434750,Riley Crane,https://api.openalex.org/works?filter=author.id:A5009434750,6,10,1204,
https://openalex.org/A5009273672,Vernon Anthony Woodley,https://api.openalex.org/works?filter=author.id:A5009273672,3,8,51,
